geom,start_s,end_s,duration_s,max_force_N,min_distance_m
fr_lleg_collision,0.056,0.088,0.032,178.97793579101562,-0.0017519218381494284
fr_lleg_collision,0.1,0.136,0.036000000000000004,156.18577575683594,-0.0006154074799269438
FL,0.0,120.0,120.0,157.96607971191406,-0.01435844600200653
fr_lleg_collision,0.14,120.0,119.86,132.92373657226562,-0.0004881009226664901
FR,0.0,120.0,120.0,455.266845703125,-0.018085166811943054
HL,0.0,120.0,120.0,187.5646209716797,-0.015593722462654114
HR,0.0,120.0,120.0,192.12567138671875,-0.015692725777626038
